,0
0,"Автор отзыва оценил кафе на 5 из 5, отметив, что капуччино на фундучном молоке с фирменными сливками Джинжу был вкуснее, чем в других местах. Он также отметил необычные десерты и персонал, который был внимательным и отзывчивым."
1,"Автору отзыва понравилось, что в кофейне теплое и уютное помещение, вкусная еда и приветливый персонал. Он также отметил быстрое приготовление блюд, отзывчивость и доброжелательность бариста. В целом, автор остался доволен посещением кофейни."
2,"Автору отзыва понравилось, что в кофейне вкусный кофе и приятная атмосфера. Он также отметил разнообразие сиропов и добавок, а также наличие новинок. В целом, автор остался доволен посещением кофейни."
3,"Автору отзыва понравились вкусные торты, уютное место, широкий выбор десертов, доброжелательный персонал, отличная выпечка и крутая лояльность для гостей."
4,"Автору отзыва понравился баскетбольный корт с удобными местами для зрителей, диванами и столом, кафешка на первом этаже, уютное, чисто, отличное покрытие-паркет, кольца Освещение тоже в порядке Внимательный персонал. Обслуживают быстро, несмотря на большое количество посетителей. Готовят очень вкусно. Замечательное кафе. Большой выбор вкусных десертов, выпечки и замечательных завтраков! Ну и, конечно, море ароматного кофе! Всем советую посетить! Лучшие булочки"
5,"Автору отзыва понравилось, что кафе теплое и уютное, здесь всегда есть народ, но никогда нет толкучки. Синнабоны бесподобны, кофе очень приличный, в меню есть и несладкие блюда. Цена умеренная. Комфортно, очень уютно, готовят очень вкусно, и классная атмосфера, огромное спасибо!"
6,"Автор отзыва отмечает, что кафе Cofix у метро Новые Черёмушки имеет удобное месторасположение, прекрасные локации, замечательную музыку, всегда чисто и безупречное обслуживание. Он также отмечает отличное качество кофе и десертов, а также разнообразие меню. Однако автор отмечает высокую стоимость за длительные посиделки и наличие бесплатных мест с едой."
7,"Автору отзыва понравилось, что можно заранее позвонить и забронировать комнату, удобное расположение, приятный персонал, вкусный кофе, наличие стоп-чеков и абонемента, уютное помещение, вкусная еда, нереальные завтраки, ароматный кофе и витрина с десертами."
8,"Десерты испортились, но кофе и глинтвейн по-прежнему вкусные. Огромный выбор хлеба и сладостей. Девушки-продавщицы приветливые и грамотные. Приятные вечера с местными группами."
9,Не понравилось: Карбонара с чесноком и сыроватым крупно нарезанным беконом
