,0
0,"Автор жалуется на неудобное расположение и малое количество мест в кафе. Он также отмечает, что пирожные вкусные, но кофе бывает вкуснее."
1,"Автор жалуется на то, что ему не дали меню, когда он попросил об этом."
2,"Автор жалуется на то, что в ресторане Сириус было мало посетителей по сравнению с другими ресторанами в Хосте."
3,"Автор жалуется на обслуживание в кафе, а именно на поведение посетительниц, которые устроили дебош и нецензурно выражались. Официант проигнорировал замечание клиента и отказался вызвать полицию. Автор также отмечает, что в это время по ТВ показывали фильм ""Дайте жалобную книгу""."
4,"Бармен мухлюет-Коктейль Солнечный ветер это просто вода с кусочком апельсина вместо вина с мартини бьянко. Кухня вобщем то тоже ужасная, сушеные кусочки непонятного вида вместо фрикаделек. Книгу жалоб отказались предоставить"
5,Автор жалуется на отсутствие ремонта и вековую пыль в данном заведении.
6,"Сегодня заказали четыре вегетарианских бургера на вынос (г. Сочи, ТЦ МОРЕМОЛЛ ), но вместо соевой котлеты в бургер положили мясную!!!!! Более в вашу сеть ходить не собираемся, вдруг поварам вздумается яд подсыпать...!"
7,"Автор жалуется на длительное ожидание, плохое качество продуктов и отсутствие меню на среднюю посадку."
8,"Автор жалуется на то, что доставку задерживают на два часа, оператор нагло врёт, хамит и не делает никаких попыток исправить ситуацию, а также на путаницу ингредиентов при доставке."
9,"Автор жалуется на то, что сотрудник редкапа на ГЛК Губаха не приготовил свежий эспрессо для его флэта, а вместо этого взболтал молоко и добавил уже сваренный кофе. Автор не стал спорить с сотрудником, так как ему наплевать на репутацию заведения."
10,"Автор жалуется на качество кофе в кофейне. Он считает, что кофе не обладает ни цветом, ни вкусом и не стоит своих денег. По его мнению, в радиусе 3 километров есть минимум 3 кофейни с кофе куда лучше, чем здесь."
11,"Автор жалуется на то, что официанты не подходят, посуду грязную нужно просить, меню небольшое, элементарного нет в наличии, а именно чай, который хотели из их меню. С десертами тоже странная ситуация-в меню могут быть, но их почему-то в наличие нет. На вопросы о блюдах не знают что ответить. Не ходите! Не тратьте своё время и деньги на это заведение!"
12,"Автор жалуется на то, что магазин и кафе не предоставляют скидку 500 рублей при покупке от 2000 рублей."
13,"Автор жалуется на то, что в его заведении поменялись сотрудники, стал хуже сервис и отношение стало пофигистическим."
14,"Автор жалуется на то, что ему не принесли воды, в туалете мусор и разбросаны салфетки, пол весь сырой и грязный, под диванчиком валялась вилка и раз её никто не убрал к двум часа дня, значит она там была с самого утра, круассаны как будто из доставки самокат, кофе налили в грязную чашку, официантов много, но они стоят и разговаривают друг с другом, ходят в грязной обуви, которая летом по улице ходила, тарелку убирали"
15,"Автор жалуется на то, что ему принесли холодное кофе и он ждал его с мамой 20 минут."
16,"Автор жалуется на качество тортов, которые он заказал в ресторане. Он считает, что раньше они были вкуснее."
17,"Автор рекомендует кафе ""Новый вкус"" в Кисловодске, отмечая его прекрасное меню, позитивных сотрудников и доступные цены. Он также выражает свое недовольство отрицательными отзывами о кафе, которые, по его мнению, написаны только по заказу. Автор выражает желание посетить новую пекарню ""Золотая Печь""."
18,"Автор жалуется на то, что ему не понравились блины с творогом."
19,"Автор жалуется на то, что пекарня перестала делать его любимые круассаны с соленой карамелью и брецель с сыром, а также не наливает кофе по утрам."
20,Автор жалуется на отсутствие скоунов в приложении.
21,"Автор жалуется на отвратительное хамское поведение продавцов, которые отказываются показывать торт и открывать коробку, а также не дают чек. Он утверждает, что торты и пирожные вкусные, но работники грубиянки."
22,"Автор жалуется на то, что ему не дали чек и списали больше денег, чем он заплатил за чашку кофе и пирожное, заявленное в прейскуранте."
23,"Автор жалуется на то, что в его стакане с б/а мохито весит 30 гр. лайма. Это неуважительно по отношению к клиенту, который несет деньги в заведение и может заказать помимо напитка и основного блюда десерт, кофе, чай. Кроме того, официанты ходили мимо, не предложили меню и не смотрели в нашу сторону."
24,"Автор жалуется на качество безлактозных напитков и тапиоки. Он считает, что они слишком сладкие и не имеют вкуса."
25,Автор жалуется на медленное обслуживание и потерянные заказы.
26,"Автор жалуется на качество кофе, которое подают в кофейне. Он считает, что их капучино на банановом не такой вкусный, как другие."
27,"Автор жалуется на качество обслуживания в сети кофеен Cofix. Он отмечает, что за последние 2 недели ему дважды не добавили сироп в заказ, а также кто-то из барист готовит ужаснейший кофе. Автор не стал выяснять отношения с сотрудниками и просто выкинул кофе в урну."
28,Автор жалуется на отсутствие десертов в наличии.
29,"Автор жалуется на скудный выбор десертов и грязь на столах в кофейне в выходной день. Он также отмечает, что при отсутствии большого количества посетителей не могут держать столы в чистоте."
30,"Автор жалуется на ужасное обслуживание, старый хлеб и ворчливых продавщиц, которые делают одолжение, отвечая на вопросы."
31,"Плохая кондитерская, широкий ассортимент, но считаю цены завышены, качество товара и сроки хранения вызывают опасения периодически. Дважды за три дня один и тот же торт( нарезка) брали с клубникой, которая была покрыта плесенью...те,после первого замечания и возврата, пришли купить через день, этот и..."
32,"Автор жалуется на то, что при заказе на доставку роллов с огурцом, ему привезли роллы с рыбой. Он также советует предлагать соусы и хлебные изделия при приеме заказа на мясо, чтобы люди не забывали их заказать."
33,"Автор жалуется на несоблюдение курсов отдачи, плохое качество горячих блюд, игнорирование грязного стола работниками и несоответствие рекламы ожиданиям."
34,"Автор жалуется на то, что в новой пекарне рядом с домом была сгоревшая выпечка и внутри трюфельного кекса был найден кусок бумаги. Он также отмечает не свежий и невкусный торт, который он брал."
35,"В данном отзыве автор жалуется на то, что в заведение не завезли соли, суп и картошка с грибами не соленые, а продавец хамит и обвиняет посетителей в воровстве пирожков. Также автор выражает недовольство отсутствием туалета и возможности вымыть руки с улицы."
36,"Автор жалуется на то, что продавца не было на месте в течение 30 минут."
37,"Автор жалуется на то, что ему отказали в доступе в уборную, несмотря на его беременность и приближающуюся аварию. Он предлагает сотруднице заплатить за это, но она отказывается."
38,"Автор жалуется на плохое обслуживание в кафе ""Шоколадница"". Он описывает, что со столика долго не убирали мусор, салат Цезарь был невкусным, а бокал вина принесли в грязном состоянии."
39,"Автор жалуется на то, что ему не принесли его любимое блюдо - вафлю из шпината с авокадо на завтрак в кафе ""Шоколадка"". Блюдо было приготовлено эконом-вариант и содержало несколько икринок и половинку вяленого помидора. Кроме того, муж заказал рисовую кашу, но ее не получилось приготовить из-за прокисшей заготовки. Официантка принесла конфетку в качестве извинения."
40,"Автор жалуется на то, что еда в ресторане невкусная и несвежая, особенно картошка с беконом."
41,"Автор жалуется на то, что ему вернули блюдо со стейком тунца, но включили его в счет, хотя он его даже не ел. Официантка также сказала, они не обязаны делать так, как указано в меню. В бургере котлета сухая."
42,"Автор жалуется на поведение охранника в кофейне Патриот. Он считает, что охранник превысил свои полномочия и грубо обращался с посетителями. Автор также отмечает приветливый персонал касс."
43,"Автор жалуется на то, что шава не является восхитительным местом в Москве."
44,"Автор жалуется на то, что персонал в магазине «Вольчека» является отвратительным и не проявляет должного уважения к покупателям. Он отмечает постоянные хамы и недоброжелательные лица, а также медленную скорость обслуживания. Автор призывает руководство магазина провести работу с сотрудниками, чтобы улучшить качество обслуживания клиентов."
45,"Автор жалуется на то, что персонал кафе не здоровается и не кладет пирожные аккуратно. Коробку с пирожными автор несет как дали, всегда аккуратно, чтобы избежать порчи пирожных. Вчера сразу на месте открыла, а там уже всё в кучу. Автор не стал возмущаться из-за очереди."
46,"К сожалению, мы не можем определить, на что именно жалуется автор. Пожалуйста, уточните свой запрос."
47,Автор жалуется на высокую цену на донер.
48,"Автор жалуется на то, что ему не подали кофе с сиропом."
49,Автор жалуется на медленное обслуживание и игнорирование его столика официантами.
50,"Автор жалуется на то, что в кафе не очень дёшево, уютно, красиво, тепло, посуда суперская, но с декором на полках нужно что-то делать - он портить стиль кафешки, нагородили безвкусного хлама в таком милом интерьере. Также автор отмечает странное количество тортов и отсутствие наклеек с датой на них."
51,"Автор жалуется на несвежую продукцию в кафе, а именно на ролл с крабом и чизкейк шоколадный. Он также советует кафе купить ацетатную бордюрную ленту для кондитерских изделий."
