,Отзыв
0,"Не очень удобное расположение, от метро идти мин 20 быстрым шагом через промзону. В самом кофе мест очень мало, а желающих очень много(( пирожные очень вкусные, кофе…бывает вкуснее. Второй раз именно туда на пойду."
1,"К кофе претензий нет, очень вкусный. Но всегда когда бы не зашел недовольный персонал, просишь дать меню всегда недовольно показывают на доску говорят вон, только если начнешь настойчиво просить они тебе его дадут(ну тут скорее кинут) а потом стоишь и думаешь, надеюсь он/она не плюнет мне в стакан"
2,"Любим сеть этих уютных ресторанов. Удивительно, что в Сириусе мало посетителей было. Для сравнения в Хосте, где курортного народу очевидно меньше, сесть было затруднительно, а тут всегда свободно."
3,"Кафе в плане интерьера замечательное и уникальное, но в кафе важнее все-таки обслуживание, которое может свести на минус любой интерьер. Сегодня зашёл покушать пиццу. Все было замечательно до того как вошли милые посетительницы этого заведения и уселись за соседний столик. И вот тут начался отборный мат, откровенный ржач на все кафе, но больше было все же нецензурщины. Официант, который к слову сказать вообще забыл о моем существовании на мое замечание о том, что матерятся, а в кафе приходят с детьми да и мне взрослому человеку не пристало всю эту откровенную пахабщину слушать просто нагло солгал, что он дескать ничего не слышит и не видит и это не его дело. А чье? Простите, в вашем заведении девицы устроили откровенный дебош и это не повод хотя бы подойти и предупредить, что так нельзя, нецензурная брань, административный штраф, полиция. Неужели мне как постоянному (а после этого эпизода я туда ни ногой)самому надо вызывать полицию? Потом ещё и повар вставила свое едкое замечание дескать вызывайте полицию. Вообщем печально. Владельцу подумать бы о смене персонала. Кстати, в это время по ТВ в этом кафе показывали фильм ""Дайте жалобную книгу"". Очень показательно и в тему!"
4,"Бармен мухлюет-Коктейль Солнечный ветер это просто вода с кусочком апельсина вместо вина с мартини бьянко. Кухня вобщем то тоже ужасная, сушеные кусочки непонятного происхождения вместо фрикаделек. Книгу жалоб отказались предоставить"
5,"Пишу с профиля мужа. Была в последний раз здесь год назад. И, судя по отзывам 2023 года, ничего не изменилось. Еще год назад я была шокирована вековой пылью, грязью, отсутствием ремонта. Целое новое поколение выросло со дня открытия данного заведения, а ремонт так и не обновлялся."
6,"Сегодня заказали четыре вегетаринских бургера на вынос ( г. Сочи, ТЦ МОРЕМОЛЛ ) !!! Вы вместо соевой котлеты в бургер положили мясную !!!!! Более в вашу сеть ходить не собираемся, вдруг поварам вздумается яд подсыпать ....!"
7,"Длительное ожидание, меню на среднюю посадку не хватает, и самое главное плохое качество продуктов, от этого как ты блюдо не заправь, чем его не укрась, оно остаётся и будет не вкусным"
8,"Отвратительное место, доставку задерживают на два часа, оператор нагло врёт, хамит не делает никаких попыток исправить ситуацию и пытается всячески снять с себя ответственность, чтобы дальше продолжать бездельничать. Курьер также нагло врёт ещё и ингредиенты путают время от времени. Полагаю, что оператор с курьером находятся в сговоре и всячески пытаются довести заказ до отмены, т.о. заказ становится никому не нужным и они сами его едят"
9,"Не смог найти редкап, который расположен на ГЛК Губаха (снизу), поэтому пишу здесь. Сегодня, 11.02.23. зашли к ним на ГЛК Губаха выпить флэт. Иногда захожу в разные точки редкапа, и везде всё неплохо и кофе и сервис и отношение. Но оказалось не везде. Так вот, заказал, смотрю а сотрудник Антон (так он представился) сразу молоко принялся взбивать. А в стакане уже сваренный кофе. ""Позвольте"", обратился я к нему, ""Почему вы не намололи кофе, не взвесили на весах нужную для рецепта дозу и не сварили свежий кофе для моего флэта? "". Если отбросить пространные монологи Антона, то его ответ звучал так : "" Я не должен варить свежий эспрессо для каждого напитка. ?!?! Я не стал спорить ни с ним, ни с его коллегой, так как им наплевать на репутацию заведения. Спросив куда я могу обраться за обратной связью, ребята из-за барной стойки порекомендовали посмотреть в 2ГИС, пожалуй туда тоже напишу. Не удивлён, что людей по сравнению с прошлым годом в заведении стало явно меньше."
10,"Одна звезда, не более! Посещая кофейню, как минимум рассчитываешь на хороший кофе! То, что удалось отведать тут, хорошим не назовешь. Ни цветом, ни вкусом, ни запахом не обладает! Другими словами денег своих не стоит, и лучше пить кофе в фастфуде, чем тут. Даже по цвету, больше похоже на крепкий чай, чем на хороший американо! А учитывая ценник, такое не допустимо. Не понятно откуда такие отзывы! Либо накручены, либо люди у нас не избалованные и рады всякой гадости! Хотя нас тоже избалованными не назовешь, но в радиусе 3 километров назову минимум 3 кофейни с кофе куда лучше чем тут, и даже дешевле! Один раз зашли на проверку, больше не будем!"
11,"Кафе не рекомендую... Сидели на втором этаже.. Официанты просто не подходят. Посуду грязную, чтобы убрать нужно просить..меню небольшое, но элементарного нет в наличии,а именно чай,который хотели из их меню. С десертами тоже странная ситуация-в меню могут быть, а в наличии нет.. Ноо.. На первом этаже также есть десерты, но их почему-то в меню нет.. Надо бежать вниз,с мотреть самому и выбирать. Официанты не компетенты. На вопросы о блюдах не знают что ответить. Не ходите! Не тратьте своё время и деньги на это заведение!"
12,"Приятный магазинчик и кафе. Вкусный чай, десерты. К сожалению, продавцы молчат о скидке 500 р при покупке от 2000 рублей. Впрочем, данный промокод и с сайта не приходит(."
13,"Поменялись сотрудники, стал хуже сервис, отношение стало пофигистическое, хотя раньше отличное заведение было"
14,"Был в этом заведении полтора года назад и было просто превосходно, но в этот раз мне не принесли даже воды В туалете мусор и разбросаны салфетки Пол весь сырой и грязный Под диванчиком валялась вилка и раз её никто не убрал к двум часа дня, значит она там была с самого утра Круассаны как будто из доставки самокат Кофе налили в грязную чашку Официантов много, но они стоят и разговаривают друг с другом Ходят в грязной обуви, в которой они летом по улице ходили Тарелку убирали 15 минут и при этом даже не додумались убрать сразу и чашку из под кофе, она так и стояла у меня на столе пока я не ушёл Ни на один мой вопрос о качестве обслуживания и приготовления блюд не смогли дать конструктивный ответ Абсолютное неуважение к клиентам и поварам данного заведения Придумайте новое меню и сделайте ремонт в данном заведении!"
15,"здравствуйте! мне в тот раз не понравилось принесли холодное кофе!( и ждали с мамой 20 минут 2 кофе, 2 КОФЕ?!"
16,Зашли насладиться вкусными тортиками. В итоге разочаровались…Раньше были гораздо вкуснее изделия.
17,"Добрый день! Хочу всем ,всем гостям Кисловодска порекомендовать кафе ""Новый вкус "" Прекрасное меню ,сотрудники позитивные с чувством юмора ,цены невероятно доступные для такого ассортимента ,не говоря ,как выглядит подача блюд (В раскрученных кафе так не подают ) Читала отзывы ,и не пойму ... Люди ,которые писали отрицательные отзывы ,это только по заказу их написали ,не читайте их !!! Приходите и насладитесь вкусом и красиво оформленным блюдом ,десертами ... Сколько раз приезжаем ,всегда заходим ,даже если живём в Ессентуках или Пятигорске ,приезжаем погулять и посетить кафе !!!!!! Я желаю Вам процветать ,и благодарных посетителей !! Хочу посетить вашу новую пекарню ""Золотая Печь ""... Спасибо за труд пекарям ,кондитерам и сотрудникам !!!!"
18,"Взяли блины и вафли с рыбой - девушкам понравилось. Я же себе взял блины с творогом - совершенно не понравилось. Ни тесто, ни творог. Спасал только клубничный сироп."
19,"Раньше очень нравилась пекарня, когда приезжала в Москву всегда ходила каждый день за хлебом, булочками, круассанами. В этот раз приехала в мае 2023 и была разочарована, любимых круассанов с соленой карамелью не делаю, брецель с сыром не делают. Несколько раз купила другие круассаны, а они оказались сухими. Утром как то пришли с подругой в 7 часов позавтракать, но кофе нам не налили, сказали, что бар с 8 утра у них. Несколько были обескуражены."
20,"Верните скоуны, пожалуйста 🙏"
21,"Отвратительное хамское поведение продавцов. Никакого больше желания видеть эти надменные лица нет, торты и пирожные вкусные, а работники грубиянки. Заказывала торт, с 10 раза приняли заказ, так как на сайте это сделать нельзя, а в Вотсап никто не отвечает. Когда забирала, не хотели показывать торт и открывать коробку, пришлось самой это делать, в то время как продавец уткнулась в телефон. Чек кстати так и не дали"
